Date,RELIANCE Open,RELIANCE High,RELIANCE Low,RELIANCE Close,RELIANCE Adj Close,RELIANCE Volume,DMART Open,DMART High,DMART Low,DMART Close,DMART Close,DMART Volume,,,,,,,,,,DROPDOWN,,Date,DMART High,RELIANCE High
6/27/2022,2544.949951,2544.949951,2481.550049,2492.649902,2485.167725,7141493,3460,3460,3400,3408.600098,3408.600098,276838,,,,,,,,,,DMART High,,6/27/2022,3460,2544.949951
6/28/2022,2482.100098,2533.949951,2482.100098,2527.699951,2520.112549,6263867,3407.550049,3497,3374,3479.949951,3479.949951,440886,,,,,,,,,,RELIANCE High,,6/28/2022,3497,2533.949951
6/29/2022,2507.199951,2597,2501,2580.149902,2572.405029,8863172,3450.449951,3527,3425,3445.25,3445.25,405633,,,,,,,,,,DMART,,6/29/2022,3527,2597
6/30/2022,2580,2615.899902,2566,2595.649902,2587.858643,10666627,3445.199951,3469,3370,3406.100098,3406.100098,384404,,,,,,,,,,,,6/30/2022,3469,2615.899902
7/1/2022,2574.899902,2592,2365,2408.699951,2401.469727,37841671,3394.449951,3406.649902,3331.100098,3388.75,3388.75,311228,,,,,,,,,,,,7/1/2022,3406.649902,2592
7/4/2022,2378.949951,2442,2366.100098,2413.699951,2406.454834,19317335,3530,3555,3460,3495.5,3495.5,766616,,,,,,,,,,,,7/4/2022,3555,2442
7/5/2022,2423,2464.899902,2417.100098,2433.25,2425.946045,8144239,3506,3657.649902,3506,3639.050049,3639.050049,859254,,,,,,,,,,,,7/5/2022,3657.649902,2464.899902
7/6/2022,2420.100098,2441.949951,2388,2411.850098,2404.610352,11050026,3650,3830,3650,3792,3792,751853,,,,,,,,,,,,7/6/2022,3830,2441.949951
7/7/2022,2425.899902,2433.25,2375,2388.100098,2380.931641,10753423,3870,3935.600098,3830,3850.949951,3850.949951,463192,,,,,,,,,,,,7/7/2022,3935.600098,2433.25
7/8/2022,2418,2418,2382.550049,2391.399902,2384.22168,8773162,3868.399902,3974,3851.100098,3941.699951,3941.699951,568785,,,,,,,,,,,,7/8/2022,3974,2418
7/11/2022,2376.5,2428.800049,2370,2423.899902,2416.624023,6390604,4000,4087.850098,3892,3986.850098,3986.850098,2331905,,,,,,,,,,,,7/11/2022,4087.850098,2428.800049
7/12/2022,2404,2439.699951,2404,2420.449951,2413.18457,4974502,3986.5,3986.850098,3855,3878.399902,3878.399902,569128,,,,,,,,,,,,7/12/2022,3986.850098,2439.699951
7/13/2022,2427.300049,2434,2373,2377.550049,2370.41333,6564435,3900,3944,3870,3883.350098,3883.350098,423704,,,,,,,,,,,,7/13/2022,3944,2434
7/14/2022,2388,2433.949951,2376.949951,2397.149902,2389.954346,7831798,3913.899902,3944,3884,3924.850098,3924.850098,372526,,,,,,,,,,,,7/14/2022,3944,2433.949951
7/15/2022,2415,2415,2383.100098,2401.800049,2394.590576,4431880,3925,3939.899902,3888,3926.800049,3926.800049,194371,,,,,,,,,,,,7/15/2022,3939.899902,2415
7/18/2022,2421,2425,2392.300049,2422.25,2414.979248,6996757,3951,3968,3920,3945.75,3945.75,287481,,,,,,,,,,,,7/18/2022,3968,2425
7/19/2022,2400.300049,2447,2400.300049,2437.100098,2429.784668,7587006,3911,3942,3911,3931.300049,3931.300049,169004,,,,,,,,,,,,7/19/2022,3942,2447
7/20/2022,2540,2542.5,2486.25,2503,2495.486816,11041036,3960,3965,3902,3915.449951,3915.449951,251615,,,,,,6/23/2023,,,,,,7/20/2022,3965,2542.5
7/21/2022,2494,2500,2467.300049,2486.300049,2478.836914,7625468,3930,4059,3920.050049,4035.350098,4035.350098,587934,,,,,Open,3823.949951,,,,,,7/21/2022,4059,2500
7/22/2022,2500,2516.300049,2495,2503.100098,2495.58667,5062651,4070,4077.899902,3950,3963.399902,3963.399902,457904,,,,,High,#N/A,,,,,,7/22/2022,4077.899902,2516.300049
7/25/2022,2467.449951,2467.449951,2403,2420.399902,2413.134521,10665470,3973,4050,3935,4040.050049,4040.050049,444451,,,,,Low,#N/A,,,,,,7/25/2022,4050,2467.449951
7/26/2022,2421.100098,2443.899902,2411.350098,2421.5,2414.231445,5216466,4038,4038,3909,3932.399902,3932.399902,430993,,,,,52 wk High,4609,,,,,,7/26/2022,4038,2443.899902
7/27/2022,2419.949951,2427,2402,2419.199951,2411.938232,3994321,3940,4010,3920,4000.949951,4000.949951,245970,,,,,52 wk low,3292,,,,,,7/27/2022,4010,2427
7/28/2022,2436,2467.949951,2421,2457.100098,2449.724609,5766936,4020,4164,4001,4147.799805,4147.799805,725281,,,,,,,,,,,,7/28/2022,4164,2467.949951
7/29/2022,2474.699951,2517.100098,2464,2509.449951,2501.91748,6982808,4215,4250,4183.450195,4243.850098,4243.850098,514745,,,,,,,,,,,,7/29/2022,4250,2517.100098
8/1/2022,2519.149902,2587.75,2507.600098,2574.850098,2567.121094,7245568,4251.950195,4317,4246.5,4307.649902,4307.649902,399725,,,,,,,,,,,,8/1/2022,4317,2587.75
8/2/2022,2572.5,2607.800049,2561.550049,2584.649902,2576.891602,6423115,4306,4306,4235.049805,4259.100098,4259.100098,311279,,,,,,,,,,,,8/2/2022,4306,2607.800049
8/3/2022,2600,2610,2567.449951,2606.350098,2598.526611,6576824,4251,4298,4180.100098,4253.149902,4253.149902,289000,,,,,,,,,,,,8/3/2022,4298,2610
8/4/2022,2610,2617.75,2535,2571.899902,2564.179932,6676577,4268,4314.899902,4175,4239.100098,4239.100098,593274,,,,,,,,,,,,8/4/2022,4314.899902,2617.75
8/5/2022,2576,2578.800049,2526.949951,2534,2526.393799,6434433,4238,4295,4187.149902,4232.25,4232.25,528876,,,,,,,,,,,,8/5/2022,4295,2578.800049
8/8/2022,2531,2583.550049,2531,2567.149902,2559.444092,4691228,4237.399902,4267.399902,4233,4250.049805,4250.049805,200014,,,,,,,,,,,,8/8/2022,4267.399902,2583.550049
8/10/2022,2576.899902,2589.899902,2557.050049,2582.5,2574.748047,4949442,4250.049805,4278.950195,4219.850098,4250.700195,4250.700195,238239,,,,,,,,,,,,8/10/2022,4278.950195,2589.899902
8/11/2022,2603.100098,2609.899902,2580.199951,2591.100098,2583.32251,3783480,4280,4295,4260,4274.850098,4274.850098,246094,,,,,,,,,,,,8/11/2022,4295,2609.899902
8/12/2022,2590.300049,2641.350098,2582.199951,2633,2625.096436,5838244,4274.850098,4387,4255,4336.700195,4336.700195,448303,,,,,,,,,,,,8/12/2022,4387,2641.350098
8/16/2022,2646.199951,2657.300049,2627.300049,2651.300049,2643.341553,3049304,4355,4412,4350.549805,4402.100098,4402.100098,290414,,,,,,,,,,,,8/16/2022,4412,2657.300049
